CODIGO,NOMBRE,DEPARTAMENTO_CENTRO,MUNICIPIO_CENTRO,SECTOR,ZONA,Total matricula inicial
12965,INSTITUTO NACIONAL DE SAN JORGE,SAN MIGUEL,SAN JORGE,PUBLICO,Urbana,278
12966,"CENTRO ESCOLAR ""CANTON JOYA DE VENTURA""",SAN MIGUEL,SAN JORGE,PUBLICO,Rural,67
12967,"CENTRO ESCOLAR ""CASERIO LOS POCITOS",,,,,
12968,"CENTRO ESCOLAR ""CANTON LA MORITA""",SAN MIGUEL,SAN JORGE,PUBLICO,Rural,204
12969,"COMPLEJO EDUCATIVO ""JUAN PABLO ESPINOZA""",SAN MIGUEL,SAN JORGE,PUBLICO,Urbana,919
12970,"CENTRO ESCOLAR ""CANTON SAN JULIAN""",SAN MIGUEL,SAN JORGE,PUBLICO,Rural,209
12975,"CENTRO ESCOLAR ""SAN LUIS DE LA REINA""",SAN MIGUEL,SAN LUIS DE LA REINA,PUBLICO,Urbana,424
12976,"CENTRO ESCOLAR ""CANTON OSTUCAL""",SAN MIGUEL,SAN LUIS DE LA REINA,PUBLICO,Rural,43
12977,"INSTITUTO NACIONAL ""JOAQUIN ERNESTO CARDENAS""",SAN MIGUEL,SAN MIGUEL,PUBLICO,Urbana,1
12978,"CENTRO ESCOLAR ""COLONIA",,,,,
12979,INSTITUTO NACIONAL ISIDRO MENENDEZ,SAN MIGUEL,SAN MIGUEL,PUBLICO,Urbana,1
12980,"INSTITUTO NACIONAL ""FEDERICO GARCIA PRIETO N.""",SAN MIGUEL,CHINAMECA,PUBLICO,Rural,70
12981,"INSTITUTO NACIONAL ""METROPOLITANO""",SAN MIGUEL,SAN MIGUEL,PUBLICO,Urbana,127
12982,INSTITUTO NACIONAL DE SAN ANTONIO SILVA,SAN MIGUEL,SAN MIGUEL,PUBLICO,Rural,270
12984,"CENTRO ESCOLAR ""CASERIO EL ESPINO""",SAN MIGUEL,SAN MIGUEL,PUBLICO,Rural,127
12985,"CENTRO ESCOLAR ""COLONIA LA AGROPECUARIA",,,,,
12986,"CENTRO ESCOLAR ""COLONIA MANOA""",SAN MIGUEL,SAN MIGUEL,PUBLICO,Rural,42
12987,"CENTRO ESCOLAR ""DE COLONIA SANTA LUISA""",SAN MIGUEL,SAN MIGUEL,PUBLICO,Urbana,193
12988,"CENTRO ESCOLAR ""COLONIA BRISAS DEL EDEN""",SAN MIGUEL,SAN MIGUEL,PUBLICO,Rural,63
12990,"COMPLEJO EDUCATIVO  ""COLONIA LA CONFIANZA""",SAN MIGUEL,SAN MIGUEL,PUBLICO,Rural,690
12991,"CENTRO ESCOLAR ""CIUDAD JARDIN  Nº 3""",SAN MIGUEL,SAN MIGUEL,PUBLICO,Urbana,430
12992,"CENTRO ESCOLAR ""HACIENDA DIVINA PROVIDENCIA""",SAN MIGUEL,SAN MIGUEL,PUBLICO,Rural,110
12993,"CENTRO ESCOLAR ""CIUDAD JARDIN""",SAN MIGUEL,SAN MIGUEL,PUBLICO,Urbana,393
12994,"CENTRO ESCOLAR ""HACIENDA SAN JUAN BOSCO""",SAN MIGUEL,SAN MIGUEL,PUBLICO,Rural,120
12995,"CENTRO ESCOLAR ""COLONIAS UNIDAS""",SAN MIGUEL,SAN MIGUEL,PUBLICO,Urbana,226
12996,"CENTRO ESCOLAR ""URBANIZACION CALIFORNIA """,SAN MIGUEL,SAN MIGUEL,PUBLICO,Urbana,634
12998,"CENTRO ESCOLAR ""INGENIERO VICTOR JOSE BATARSE""",SAN MIGUEL,SAN MIGUEL,PUBLICO,Urbana,349
